,PID,BAI,PARCELID,PROPLOC,SUBDIV,LAND_ASSESS,IMPROV_ASSESS,TOTAL_ASSESS,CITY,STATE,ZIP,SALE_DATE,SALE_PRICE,IMPROVE_VACANT,DEED,YR_BUILT,STYLE,GRADE,ROOF_STRUCT,ROOF_COVER,EXT_WALLCOV,HEAT_FUEL,AC_TYPE,INT_FLOOR,NUM_BED,NUM_BATH,LIVING_SQFT,ACRES,ZONING,UTILITIES,STREET_QUALITY
3005,3200,3293,H10-0213-3942,5721 EMMAUS CHURCH RD ,ADJ MARSTON,102600,203200,305800,PROVIDENCE FORGE,VA,23140,2002-04-08 00:00:00,178000.0,I,,1980.0,Cape Cod,C,Gable,Comp Shingle,Aluminum Sidin,Electric,Central,Hardwood,3.0,2.0,2069.0,4.08,A1,"Well,Septic,Electric",Paved
3006,3201,3294,J25-2109-1054,15099 NEW KENT HW ,ADJ BROOKS LUMBER CO,76300,240900,317200,LANEXA,VA,23089,2021-06-29 00:00:00,320000.0,I,,2006.0,Cape Cod,C++,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,1768.0,3.52,A1,"Well,Septic",Paved
3007,3202,3295,A25-3860-4278,221 JOHN SMITH TL ,THE COLONIES,94600,269200,363800,LANEXA,VA,23089,1997-10-21 00:00:00,32500.0,V,,1998.0,Colonial,C,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Hardwood,3.0,2.0,2328.0,1.46,ROA,"Public Water,Septic,Electric",Paved
3008,3203,3296,K08-1531-1916,4200 OLD NOTTINGHAM RD ,ROSE GRADEN,85200,213100,298300,QUINTON,VA,23141,2005-03-29 00:00:00,,I,,1978.0,Cape Cod,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Carpet,4.0,2.0,1672.0,5.0,A1,"Well,Septic,Electric",gravel
3009,3204,3297,M03-2451-1962,1240 QUAKER RD ,KENTWOOD ACRES LOT 5,108900,232300,341200,QUINTON,VA,23141,,0.0,V,,1986.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Central,Carpet,3.0,2.0,2158.0,5.03,A1,"Well,Septic,Electric",Paved
3010,3205,3298,J25-3793-3141,OLD CAMP RD,LAKE SERTOMA,74900,0,74900,HAMPTON,VA,23669-1070,,0.0,,,0.0,,,,,,,,,,,0.0,5.0,A1,,gravel
3011,3206,3299,P06-3650-4221,3321 HOPEWELL RD ,ADJ JOHN L PARSLEY,96900,108700,205600,NEW KENT,VA,23124,2009-11-23 00:00:00,0.0,I,RIGHT OF SURVIVORSHIP; PETER F HIGGINS JR PASSED AWAY 11/23/09,1989.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Unit/AC,Carpet,3.0,1.0,1104.0,5.01,A1,"Well/Septic,Electric",Paved
3012,3207,3300,I09-3012-3243,6407 LAKESIDE DR ,WOODHAVEN SHORES,82500,163700,246200,QUINTON,VA,23141,1991-05-31 00:00:00,72000.0,V,,1965.0,Ranch,C--,Flat,Metal,Brick,Electric,None,Carpet,2.0,1.0,1080.0,4.6e-05,R2,"Public Water,Septic,Electric",gravel
3013,3208,3301,F16-3173-1857,9521 OLD FORGE RD ,MINITREE HILL,172800,340100,512900,PROVIDENCE FORGE,VA,23140,,0.0,V,,1987.0,Modified Ranch,C,Gable,Dimen Shingle,Cedar,Electric,Central,Hardwood,4.0,3.0,2013.0,22.0,A1,"Well,Septic,Electric",Paved
3014,3209,3302,P09-2323-0997,11750 MACON LN ,AT HOPEWELL CHURCH,78200,117700,195900,NEW KENT,VA,23124,2010-11-19 00:00:00,150000.0,I,,2004.0,Ranch,C,Gable,Roll Comp,Vinyl Siding,Electric,Central,Carpet,3.0,1.0,1122.0,2.21,A1,Well/Septic,Paved
3015,3210,3303,I09-3280-5479,5111 HEMLOCK RD ,WOODHAVEN SHORES,49500,154800,204300,QUINTON,VA,23141,2018-08-06 00:00:00,160000.0,I,,1994.0,Ranch,C++,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,1020.0,2.3e-05,R2,"Public Water,Septic,Electric",Paved
3016,3211,3307,K32-1660-1534,7800 PLUM POINT RD ,PLUM POINT,38000,62000,100000,MECHANICSVILLE,VA,23111,2006-04-13 00:00:00,53200.0,I,,1960.0,Cottage,C,Gable,Roll Comp,Aluminum Sidin,Oil,Unit/AC,Heart of Pine,3.0,1.0,952.0,2.3e-05,A1,"Well,Septic,Electric",Paved
3017,3212,3308,J26-1562-1413,NEW KENT HW,LAKE SERTOMA,74900,0,74900,WILLIAMSBURG,VA,23185,,0.0,,,0.0,,,,,,,,,,,0.0,5.0,A1,,Paved
3018,3213,3309,J25-3243-3013,0 OLD CAMP RD ,LAKE SERTOMA,74900,0,74900,LANEXA,VA,23089,2017-08-09 00:00:00,62000.0,V,,0.0,,,,,,,,,,,0.0,5.01,A1,,gravel
3019,3214,3310,L10-3940-4427,5901 HINGHAM DR ,KENWOOD FARMS,53800,231000,284800,NEW KENT,VA,23124,2002-12-04 00:00:00,,I,,1989.0,Ranch,C,Gable,Dimen Shingle,Cedar,Electric,Central,Carpet,3.0,3.0,1892.0,1.25,R1,"PW / Septic,Electric",Paved
3020,3215,3311,B23-2433-2378,13923 JAMES DR ,CHICKAHOMINY SHORES,51900,123100,175000,LANEXA,VA,23089,,0.0,,,1982.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Unit/AC,Carpet,3.0,2.0,1056.0,0.36,R1,"Well,Septic,Electric",Paved
3021,3216,3312,I12-0383-3182,6420 EMMAUS CHURCH RD ,PARRISH,89700,260100,349800,PROVIDENCE FORGE,VA,23140,2018-08-21 00:00:00,16256.0,I,DEED OF BOUNDARY ADJ & CONSOLIDATION; TRANSFER INCLUDES TM# 31-6-8 & 31A-1,1979.0,Modified Ranch,C--,Gable,Dimen Shingle,Brick,Gas,Central,Hardwood,4.0,2.0,2192.0,3.935,A1,"Well,Septic,Electric",Paved
3022,3217,3313,N17-2876-3422,10134 PAMUNKEY DR,PART OF WHITEHOUSE LOT 4,299100,154800,453900,NEW KENT,VA,23124,,75000.0,V,,1960.0,Ranch,C--,Gable,Comp Shingle,Vinyl Siding,Electric,None,Carpet,2.0,2.0,1120.0,0.35,R1,"Well,Septic,Electric",gravel
3023,3218,3314,J08-1056-1147,4100 HENPECK RD,CROSSES GROVE,73400,207900,281300,MIDLOTHAN,VA,23112,2021-09-21 00:00:00,0.0,I,WILL BOOK-KEN HILLIARD DOD 4/23/21,1986.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Central,Carpet,3.0,2.0,1711.0,1.49,R1,"Well,Septic,Electric",Paved
3024,3220,3316,P09-2458-2021,HOPEWELL RD,ADJ GORDON JONES,59600,0,59600,NEW KENT,VA,23124,,3500.0,V,,0.0,,,,,,,,,,,0.0,1.0,A1,,Paved
3025,3221,3317,A25-3028-4097,15309 MOYSONIKE CT ,THE COLONIES,95200,220200,315400,LANEXA,VA,23089,2006-03-29 00:00:00,,I,,1989.0,Colonial,C,Gable,Comp Shingle,Cedar,Electric,Heat Pump,Carpet,4.0,2.0,2021.0,1.06,ROA,"Public Water,Septic,Electric",Paved
3026,3222,3319,K05-3883-1282,7700 TIMBER DR ,BROOKWOOD MANOR,56100,186300,242400,QUINTON,VA,23141,2018-08-21 00:00:00,200000.0,I,,1976.0,Ranch,C,Gable,Comp Shingle,Cedar,Electric,Central,Carpet,3.0,2.0,1611.0,0.47,R1,"Well/Septic,Electric",Paved
3027,3223,3320,G23-4063-2577,4800 N WATERSIDE DR ,NEW KENT COLONY ESTATES,76600,217100,293700,LANEXA,VA,23089,,0.0,,,1989.0,Cape Cod,C,Gambrel,Comp Shingle,Vinyl Siding,Electric,Central,Carpet,2.0,2.0,1296.0,5.01,A1,"Well,Septic,Electric",Paved
3028,3224,3321,K08-2305-4241,8225 OLD ROXBURY RD ,CLINTWOOD,92300,201800,294100,QUINTON,VA,23141,2014-09-12 00:00:00,203950.0,I,,1973.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Central,Carpet,3.0,2.0,1971.0,3.41,A1,"Well,Septic,Electric",Paved
3029,3225,3322,F28-3570-2642,3916 MOORES LN ,WEDGEWOOD,61800,176200,238000,LANEXA,VA,23089,2001-07-11 00:00:00,105900.0,I,,1987.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Central,Carpet,3.0,2.0,1247.0,0.47,R1,"Public Water,Septic,Electric",Paved
3030,3226,3323,I07-1561-4254,3612 LOCUST CT ,FIVE LAKES FOREST,51400,278300,329700,QUINTON,VA,23141,2018-07-06 00:00:00,277000.0,I,,1988.0,Colonial,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Laminate,4.0,3.0,2464.0,0.47,R1,"Public Water,Septic,Electric",Paved
3031,3227,3324,I07-1603-4389,3610 LOCUST CT ,FIVE LAKES FOREST,52800,194200,247000,QUINTON,VA,23141,2003-06-17 00:00:00,141950.0,I,,1989.0,Cape Cod,C++,Gable,Comp Shingle,Cedar,Electric,Central,Carpet,4.0,2.0,1623.0,0.52,R1,"Public Water,Septic,Electric",Paved
3032,3228,3325,K07-0233-4239,8201 N HENPECK RD ,ADJ HELM,78800,106900,185700,QUINTON,VA,23141,,0.0,V,,1925.0,Cottage,C,Gable,Comp Shingle,Vinyl Siding,Electric,Unit/AC,Heart of Pine,2.0,1.0,732.0,2.3,A1,"Well,Septic,Electric",Paved
3033,3230,3327,I32-1070-1155,FARMERS DR,ADJ COWLES RT 30,230200,0,230200,HENRICO,VA,23229,2021-02-24 00:00:00,0.0,V,,0.0,,,,,,,,,,,0.0,29.0,A1,,Paved
3034,3231,3328,D20-0956-4664,WINDSOR SHADES LN ,AT BOULEVARD,47800,16800,64600,LANEXA,VA,23089,2018-10-31 00:00:00,133000.0,I,43-57 & 43-58,1990.0,Detached Garage,C,Salt Box,Metal,Wood Siding,None,None,Concrete,0.0,0.0,0.0,0.49,A1,,gravel
3035,3232,3329,D20-0889-4556,2702 WINDSOR SHADES LN ,WINDSOR SHADES,36200,84600,120800,LANEXA,VA,23089,2018-10-31 00:00:00,133000.0,I,43-57 & 43-58,1915.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Oil,Central,Pine,2.0,1.0,972.0,0.17,A1,"Well,Septic,Electric","gravel,Paved"
3036,3233,3330,E18-3023-3109,10921 CARRIAGE RD ,ADJ GAME FARM RT 60,224500,261800,486300,LANEXA,VA,23089,2021-03-31 00:00:00,289000.0,I,LOT SPLIT-LARGE LOT SUBDIVISION-SUE ANNE MARTIN & G DENNIS HOCKADAY SUCCESSORS TRUSTEES,1962.0,Ranch,C,Gable,Dimen Shingle,Brick,Gas,Central,Hardwood,4.0,2.0,2066.0,30.0,A1,"Well,Septic,Electric",Paved
3037,3234,3331,D20-0570-4741,2715 MT PLEASANT RD ,WINDSOR SHADES,38300,142000,180300,PROVIDENCE FORGE,VA,23140,1993-02-01 00:00:00,76500.0,,,1990.0,Conventional,C--,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,3.0,1664.0,0.46,A1,"Well,Septic,Electric",Paved
3038,3235,3332,D26-1183-2791,15600 POCAHONTAS TL ,NEAR DIASCOND RT 60,70100,0,70100,NORGE,VA,23127,2021-10-13 00:00:00,68000.0,I,ESTATE SALE INCLUDES 45-71 & 45-71B,1920.0,Farmhouse,E,Gable,Metal,Wood Siding,Oil,None,Heart of Pine,3.0,2.0,1906.0,1.0,A1,"Well,Septic,Electric",Paved
3039,3236,3333,B23-2728-2306,13947 JAMES DR ,CHICKAHOMINY SHORES,51600,199400,251000,LANEXA,VA,23089,2021-02-02 00:00:00,0.0,I,SURVIVORSHIP-WILFORD WALKER DOD 12/11/20,1987.0,Conventional,C,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Carpet,2.0,2.0,1682.0,0.34,R1,"Well,Septic,Electric",Paved
3040,3237,3334,J27-2815-0348,16501 ROCKY RD,ADJ PHILBATES,59000,102000,161000,QUINTON,VA,23141,,37500.0,V,,1974.0,Ranch,C--,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Carpet,2.0,1.0,1048.0,0.5,A1,"Well,Septic,Electric","Dirt,gravel"
3041,3238,3335,D25-2394-0878,OFF ROCKAHOCK RD ,ADJ HOWE,101900,0,101900,PALMETTO,FL,34221,2018-12-17 00:00:00,0.0,V,,0.0,,,,,,,,,,,0.0,8.5,A1,,No road
3042,3239,3336,C25-3568-2015,COLONY TL ,ADJ C&O RAILWAY,79700,245300,325000,LANEXA,VA,23089,2014-07-30 00:00:00,0.0,V,DEED OF GIFT,2018.0,Ranch,C++,Gable,Dimen Shingle,Cement Board,Electric,Heat Pump,Hardwood,2.0,2.0,1376.0,2.44,A1,,Paved
3043,3240,3337,C25-2928-2352,COLONY TL,ADJ MARTIN PARCEL E,81500,0,81500,SHACKLEFORDS,VA,23156,2014-07-30 00:00:00,0.0,V,DEED OF GIFT,0.0,,,,,,,,,,,0.0,2.7,A1,,Paved
3044,3241,3338,D25-2000-1374,15100 ROCKAHOCK RD ,ADJ MARTIN,70100,127800,197900,BARHAMSVILLE,VA,23011,2018-12-17 00:00:00,0.0,I,,1947.0,Ranch,C--,Gable,Dimen Shingle,Aluminum Sidin,Oil,Unit/AC,Carpet,3.0,1.0,1392.0,1.0,A1,"Well,Septic,Electric",Paved
3045,3242,3339,D25-1764-1381,ROCKAHOCK RD ,ADJ HOCKADAY,59100,0,59100,BARHAMSVILLE,VA,23011,2018-12-17 00:00:00,0.0,V,,0.0,,,,,,,,,,,0.0,0.7,A1,,Paved
3046,3243,3340,D25-2344-1254,ROCKAHOCK RD ,ADJ HOWE & STEWART,59000,0,59000,PALMETTO,FL,34221,2018-12-17 00:00:00,0.0,V,,0.0,,,,,,,,,,,0.0,0.5,A1,,Paved
3047,3244,3341,D25-1852-1016,ROCKAHOCK RD ,ADJ WARD,83500,0,83500,PALMETTO,FL,34221,2018-12-17 00:00:00,0.0,V,,0.0,,,,,,,,,,,0.0,3.0,A1,,
3048,3245,3342,D25-3888-0091,1910 CARTER RD ,ADJ HAZELWOOD,73500,244300,317800,LANEXA,VA,23089,2020-12-16 00:00:00,270000.0,I,,2015.0,Modern Ranch,C++,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Vinyl,3.0,2.0,1456.0,1.5,A1,,Paved
3049,3246,3343,E16-2126-4379,9410 POCAHONTAS TL,AT PROVIDENCE FORGE,65900,243500,309400,PROVIDENCE FORGE,VA,23140,1997-08-26 00:00:00,137000.0,V,,1950.0,Cape Cod,C,Gable,Comp Shingle,Brick,Electric,Central,Hardwood,3.0,2.0,2232.0,1.39,R2,"Well,Septic,Electric",Paved
3050,3247,3344,H24-1461-1355,5215 JACK'S CORNER DR ,ON RT 603,78900,248000,326900,LANEXA,VA,23089,2004-11-23 00:00:00,175000.0,I,,2004.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,2112.0,5.0,A1,"Well,Septic,Electric",Dirt
3051,3248,3345,B24-2973-3814,950 TURNERS LANDING RD ,TURNERS NECK ESTATES,249300,993500,1242800,LANEXA,VA,23089,2013-06-21 00:00:00,0.0,I,"JOSEPH M CALKINS REVOCABLE LIVING TRUST AGREEMENT DATED MAY 3, 2007 & KATA A CALKINS REVOCABLE LIVING TRUST AGREEMENT DATED MAY 3, 2007",1993.0,Cape Cod,C++,Gable,Metal,Brick,Electric,Heat Pump,Carpet,3.0,3.0,5362.0,6.23,R1,"Well,Septic,Electric",Paved
3052,3249,3346,B26-0454-0215,15439 RIVER BEND TL,THE COLONIES,106000,222100,328100,LANEXA,VA,23089,,0.0,,,1980.0,Tudor,C,Typical,Comp Shingle,Brick,Electric,Heat Pump,Hardwood,3.0,2.0,1704.0,2.47,ROA,"Public Water,Septic,Electric",Paved
3053,3250,3347,G33-1842-0139,20111 TRIANGLE RD ,ADJ CHESAPEAKE,76000,255400,331400,PROVIDENCE FORGE,VA,23140,2021-10-18 00:00:00,330000.0,I,SALE INCLUDES 38-97 & 39-97A,1953.0,Modified Ranch,D+,Gable,Comp Shingle,Vinyl Siding,Electric,Unit/AC,Carpet,2.0,1.0,1300.0,0.96,A1,"Well,Septic,Electric",Paved
3054,3251,3348,G32-0315-0083,4400 WINDY LN ,WINDY ACRES,73600,311700,385300,BARHAMSVILLE,VA,23011,2002-06-21 00:00:00,215000.0,I,,1984.0,Cape Cod,C,Gable,Dimen Shingle,Brick,Electric,Central,Hardwood,5.0,3.0,3174.0,2.61,R1,"Well,Septic,Electric","gravel,Dirt"
3055,3252,3349,M05-3329-2698,9700 SHERWOOD DR ,SHERWOOD LOT 5,74500,208600,283100,QUINTON,VA,23141,2021-10-05 00:00:00,0.0,I,SULLIVAN LIVING TRUST DTD 8/20/21,1976.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Central,Hardwood,3.0,2.0,1706.0,0.98,R1,"Public Water,Septic,Electric",Paved
3056,3253,3350,A26-0454-3726,231 FOUR ISLANDS TL ,THE COLONIES,273400,552800,826200,LANEXA,VA,23089,1997-12-10 00:00:00,225000.0,V,,1981.0,Colonial,B,Gable,Dimen Shingle,Brick,Electric,Heat Pump,Carpet,4.0,4.0,4064.0,0.8,ROA,"Public Water,Septic,Electric",Paved
3057,3254,3351,Q12-0549-4095,6600 PUTNEYS MILL RD ,ADJ WILLIAMS,152200,194300,346500,NEW KENT,VA,23124,2004-01-01 00:00:00,,V,,1964.0,Ranch,C--,Gable,Comp Shingle,Hardboard,Electric,Unit/AC,Carpet,3.0,2.0,1232.0,8.4,A1,"Well/Septic,Electric",Dirt
3058,3255,3352,B26-0653-0941,15432 RIVER BEND TL,THE COLONIES,60100,163600,223700,LANEXA,VA,23089,2004-02-11 00:00:00,,V,,1987.0,Ranch,C--,Gable,Comp Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,2.0,1248.0,0.5,ROA,"Public Water,Septic,Electric",Paved
3059,3256,3353,E20-2318-2137,11931 INDIAN HILL LN ,ADJ ADKINS,65000,122600,187600,PROVIDENCE FORGE,VA,23140,2015-06-05 00:00:00,0.0,I,WILL BOOK; JULIA C HOGGE PASSED AWAY 05/25/15,2006.0,Doublewide 1996 - 2010,C,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Carpet,3.0,2.0,2280.0,1.24,A1,"Well,Septic,Electric",Paved
3060,3257,3354,E20-2664-2303,12028 INDIAN HILL LN,ADJ HOGGE,69500,194000,263500,PROVIDENCE FORGE,VA,23140,,0.0,,,1986.0,Ranch,C,Gable,Dimen Shingle,Brick,Electric,Central,Hardwood,2.0,2.0,1076.0,2.0,A1,"Well,Septic,Electric",Paved
3061,3258,3355,E20-2164-2129,11921 INDIAN HILL LN ,ON RT 1102,67700,221700,289400,PROVIDENCE FORGE,VA,23140,2015-06-05 00:00:00,0.0,I,WILL BOOK; RIGHT OF SURVIVORSHIP; CATHERINE L HOGGE PASSED AWAY 05/25/15,1988.0,Modified Ranch,C,Gable,Dimen Shingle,Brick,Electric,Central,Hardwood,3.0,2.0,1968.0,1.69,A1,"Well,Septic,Electric",Paved
3062,3259,3356,E20-2857-2148,12105 INDIAN HILL LN ,ADJ BAILEY,60900,118800,179700,PROVIDENCE FORGE,VA,23140,,0.0,,,1976.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,None,Hardwood,3.0,1.0,960.0,0.75,A1,"Well,Septic,Electric",Paved
3063,3260,3357,K30-3008-0761,ELTHAM RD ,PART OF ELTHAM,393200,0,393200,ARLINGTON,VA,22203,2012-08-10 00:00:00,270000.0,V,,0.0,,,,,,,,,,,0.0,7.78,EO,,Paved
3064,3261,3358,I10-1005-3233,7164 LAKESHORE DR,WOODHAVEN SHORES,97500,172000,269500,QUINTON,VA,23141,,0.0,,,1980.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,None,Hardwood,3.0,1.0,1168.0,6.9e-05,R2,"Public Water,Septic,Electric",Paved
3065,3262,3359,F12-1296-3768,4101 S MOUNTCASTLE RD ,AT MOUNTCASTLE,357700,8300,366000,WAYNESBORO,GA,30830,2013-10-23 00:00:00,0.0,V,,,,,,,,,,,,,,8.0,IND,,
3066,3263,3360,F12-1889-3611,4101 S MOUNTCASTLE RD ,AT MOUNTCASTLE,315100,391100,706200,WAYNESBORO,GA,30830,,0.0,,,1978.0,Office/Warehouse,D,Gable,Metal,Metal,Electric,Central,Concrete,,,6984.0,7.0,IND,,
3067,3264,3361,F12-1646-4015,OFF MOUNTCASTLE RD,AT MOUNTCASTLE,71800,0,71800,WAYNESBORO,GA,30830,,0.0,,,0.0,,,,,,,,,,,0.0,1.18,IND,,No road
3068,3265,3362,J06-2744-1027,7012 N HAIRPIN DR ,FIVE LAKES EAST,104900,264500,369400,QUINTON,VA,23141,2018-05-14 00:00:00,259000.0,I,,1986.0,Colonial,C,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Carpet,4.0,3.0,2415.0,0.88,R1,"Public Water,Septic,Electric",Paved
3069,3266,3363,H31-3885-1332,19146 POLISH TOWN RD ,ADJ DAVIS,96800,241700,338500,BARHAMSVILLE,VA,23011,1999-05-11 00:00:00,155000.0,I,,1987.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Central,Hardwood,3.0,2.0,1610.0,5.0,A1,"Well,Septic,Electric",gravel
3070,3267,3364,D25-0176-2567,N WATERSIDE DR,ADJ VAIDENS MILL RT 60,177400,0,177400,WILLIAMSBURG,VA,23188,2011-10-07 00:00:00,,V,,0.0,,,,,,,,,,,0.0,21.69,A1,,Paved
3071,3268,3365,L06-2617-1393,8510 S QUAKER RD ,HICKS LOT 2,89600,232800,322400,QUINTON,VA,23141,,0.0,,,1973.0,Ranch,C,Gable,Dimen Shingle,Brick,Electric,Central,Hardwood,3.0,2.0,2084.0,3.92,A1,"Well/Septic,Electric",Paved
3072,3269,3366,I10-1072-4364,5515 HEMLOCK RD ,WOODHAVEN SHORES,60000,153500,213500,QUINTON,VA,23141,2021-11-29 00:00:00,215000.0,I,,1982.0,Ranch,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Central,Luxury Plank/Tile,2.0,2.0,1144.0,4.6e-05,R2,"Public Water,Septic,Electric",Paved
3073,3270,3367,D26-1593-2807,15640 POCAHONTAS TL ,ADJ PARSONAGE,59400,136700,196100,WILLIAMSBURG,VA,23185,2021-04-23 00:00:00,0.0,I,REV TRANSFER ON DEATH-RONALD C & SALLY A BURR BENEFICIARIES,1920.0,Farmhouse,C--,Gable,Comp Shingle,Aluminum Sidin,Oil,None,Heart of Pine,3.0,1.0,1881.0,0.51,A1,"Well,Septic,Electric",Paved
3074,3271,3368,L04-0866-2205,1600 ARROWHEAD RD ,ORAPAX FARMS,77700,163000,240700,QUINTON,VA,23141,2011-12-09 00:00:00,,I,,1968.0,Modular 1995 & Older,C,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Hardwood,3.0,1.0,1300.0,1.31,R1,"Well/Septic,Electric",Paved
3075,3272,3370,I10-1517-1766,LAKESHORE DR,WOODHAVEN SHORES,24800,400,25200,QUINTON,VA,23141,2015-08-11 00:00:00,100.0,V,"ESTATE SALE; GRANTEE ALSO PURCHASE TM# 30A-9-1107, 30A-9-1108 & 30A-9-1009 FROM GRANTOR BY DB 644/1983",0.0,,,,,,,,,,,0.0,2.3e-05,R2,,Paved
3076,3273,3371,I10-1663-1669,LAKESHORE DR,WOODHAVEN SHORES,45000,0,45000,QUINTON,VA,23141,2005-08-19 00:00:00,36000.0,V,,0.0,,,,,,,,,,,0.0,2.3e-05,R2,,Paved
3077,3274,3375,L09-2653-0121,8417 KENLEIGH CT ,CLINTWOOD EAST,107300,315100,422400,QUINTON,VA,23141,,0.0,,,1991.0,Ranch,C,Gable,Dimen Shingle,Brick,Electric,Central,Hardwood,3.0,2.0,1680.0,5.630023,A1,"Well,Septic,Electric",Paved
3078,3275,3376,K32-2247-2149,7932 PLUM POINT RD ,PLUM POINT,38000,183300,221300,WEST POINT,VA,23181,,0.0,V,,1972.0,Ranch,C,Gable,Comp Shingle,Brick,Electric,Heat Pump,Hardwood,3.0,1.0,1665.0,2.3e-05,A1,"Well,Septic,Electric",Paved
3079,3276,3377,K32-2174-2576,VERMONT RD,PLUM POINT,40600,0,40600,WEST POINT,VA,23181,2014-12-03 00:00:00,0.0,V,WILL BOOK; RIGHT OF SURVIVORSHIP; CLIFTON H HOLMES PASSED AWAY 10/29/14,,,,,,,,,,,,0.0,0.19,A1,"Well,Septic,Electric",Paved
3080,3277,3378,K32-2139-2543,7948 VERMONT RD ,PLUM POINT,38300,104600,142900,WEST POINT,VA,23181,2014-12-03 00:00:00,0.0,I,WILL BOOK; RIGHT OF SURVIVORSHIP; CLIFTON H HOLMES PASSED AWAY 10/29/14,1970.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Hardwood,4.0,1.0,1035.0,0.16,A1,,Paved
3081,3278,3379,K32-1571-3191,YORK RD,PLUM POINT,300,0,300,WEST POINT,VA,23181,2000-03-29 00:00:00,1000.0,V,,0.0,,,,,,,,,,,0.0,0.16,A1,,No road
3082,3279,3380,K18-0594-2378,7910 N COURTHOUSE RD ,ADJ H F MOUNTCASTLE,68000,114500,182500,SANDSTON,VA,23150,2001-07-20 00:00:00,85000.0,I,,1976.0,Ranch,C--,Gable,Comp Shingle,Cement Board,Electric,Unit/AC,Hardwood,3.0,1.0,1040.0,1.74,A1,"Well,Septic,Electric",Paved
3083,3280,3381,K32-1697-1866,19441 MATTAPONI RD ,PLUM POINT,38000,162000,200000,WEST POINT,VA,23181,1997-11-05 00:00:00,74000.0,V,,1953.0,Ranch,C,Gable,Comp Shingle,Vinyl Siding,Electric,Central,Hardwood,3.0,2.0,2084.0,2.3e-05,A1,"Well,Septic,Electric",Paved
3084,3281,3382,E24-3376-3560,3300 N WATERSIDE DR ,ADJ WALLS,97800,311500,409300,LANEXA,VA,23089,,0.0,V,,1986.0,Colonial,C,Gable,Comp Shingle,Cedar,Electric,Central,Hardwood,3.0,3.0,2537.0,4.93,A1,"Well,Septic,Electric",Paved
3085,3282,3383,E24-3254-3782,OFF WATERSIDE DR,DIASCUND WOODS ESTATES,65900,0,65900,LANEXA,VA,23089,,0.0,V,,0.0,,,,,,,,,,,0.0,5.0,A1,,No road
3086,3283,3384,E24-3368-4097,3400 N WATERSIDE DR,DIASCUND WOODS ESTATES,95200,188500,283700,LANEXA,VA,23089,,0.0,,,1987.0,Cape Cod,C,Gable,Dimen Shingle,Cedar,Electric,Central,Carpet,2.0,2.0,1749.0,4.8,A1,"Well,Septic,Electric",Paved
3087,3284,3385,K32-2244-2389,19441 YORK RD ,PLUM POINT,38000,128200,166200,WEST POINT,VA,23181,2021-06-03 00:00:00,0.0,I,WILL BOOK-RE AFFIDAVIT-MARIE HOLMES DOD 11/23/20,2008.0,Cottage,B+,Gable,Dimen Shingle,Vinyl Siding,Electric,Heat Pump,Carpet,3.0,1.0,984.0,2.3e-05,A1,"Well,Septic,Electric",Paved
3088,3285,3386,N11-3791-1322,6450 MARL SPRING DR ,MARL SPRING,88300,281300,369600,NEW KENT,VA,23124,2015-08-25 00:00:00,287000.0,I,,1995.0,Ranch,C++,Gable,Comp Shingle,Brick,Gas/Elec,Central,Laminate,3.0,2.0,2043.0,3.72,A1,"Well,Septic,Electric",Paved
3089,3286,3387,K12-1426-3584,8100 GEO W WATKINS RD ,ADJ MEEKINS,76800,197000,273800,MIDLOTHIAN,VA,23112,2020-08-07 00:00:00,0.0,I,DAVID NEAL JONES REV TRUST DTD 7/29/20,1978.0,Ranch,C,Gable,Dimen Shingle,Brick,Electric,Central,Hardwood,3.0,2.0,1837.0,2.0,A1,"Well,Septic,Electric",Paved
